road_type,time_of_day,day_of_week,historical_avg_speed,weather_condition,distance_km,actual_speed
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,3.451635018322269133e+01,0.000000000000000000e+00,3.927689603607045221e+00,3.145538467897547363e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.057670877405072574e+01,0.000000000000000000e+00,5.608910527774614296e-01,1.758813686166746848e+01
2.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,3.092114135818500387e+01,0.000000000000000000e+00,3.824430060195008529e+00,1.404929642297265957e+01
2.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,4.004400473346976952e+01,0.000000000000000000e+00,3.267723172869483772e+00,3.295896666427191946e+01
1.000000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,5.493276440861837528e+01,0.000000000000000000e+00,5.523490458309614937e+00,5.339640609469380195e+01
1.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000000e+00,5.364357094722825536e+01,0.000000000000000000e+00,7.537473339323889299e+00,4.640034737605824233e+01
1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,5.968759724064342720e+01,1.000000000000000000e+00,1.143433161965274003e+00,4.281116781518623071e+01
3.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,2.094386393388494838e+01,0.000000000000000000e+00,2.956072900359673294e+00,2.124561600026390451e+01
2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,3.226891301770048415e+01,0.000000000000000000e+00,3.830485530456889443e+00,1.349670926521745429e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.286915833417017296e+01,0.000000000000000000e+00,3.913890335257874664e+00,2.384287538382579896e+01
1.000000000000000000e+00,1.100000000000000000e+01,3.000000000000000000e+00,5.242828013324930225e+01,1.000000000000000000e+00,6.311072906316903541e+00,3.238976318784512642e+01
3.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,1.880191549985646660e+01,0.000000000000000000e+00,3.825467493750806192e+00,1.698907855264940281e+01
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.991969037168397350e+01,0.000000000000000000e+00,7.037097609024002276e-01,1.221396398003523309e+01
1.000000000000000000e+00,2.100000000000000000e+01,2.000000000000000000e+00,6.224485190113712463e+01,1.000000000000000000e+00,5.825780709446235051e+00,4.466738636345391456e+01
1.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,5.155053110407757799e+01,0.000000000000000000e+00,7.136222713592537126e+00,4.732523800561070715e+01
1.000000000000000000e+00,1.200000000000000000e+01,3.000000000000000000e+00,5.052354412806006678e+01,0.000000000000000000e+00,4.354285344122546419e+00,4.073668537687108682e+01
2.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,3.583408840273680340e+01,0.000000000000000000e+00,4.858313912738790208e+00,3.110062283146159601e+01
2.000000000000000000e+00,2.100000000000000000e+01,5.000000000000000000e+00,3.477210086280607726e+01,1.000000000000000000e+00,1.722023292267845562e+00,2.282451461501507595e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.698012286971248841e+01,0.000000000000000000e+00,2.154844585092178022e+00,2.540112931308818744e+01
2.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+00,3.333774703932816408e+01,0.000000000000000000e+00,2.263776793434588264e+00,1.934346167370880210e+01
2.000000000000000000e+00,1.900000000000000000e+01,2.000000000000000000e+00,3.239445983808683849e+01,1.000000000000000000e+00,3.730564811609714759e+00,1.400713136436141326e+01
1.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,6.002115930244794129e+01,0.000000000000000000e+00,7.461089156717315873e+00,5.831606194028290702e+01
2.000000000000000000e+00,2.300000000000000000e+01,2.000000000000000000e+00,3.016493124633358747e+01,0.000000000000000000e+00,4.413385750361645599e+00,2.239019844595070907e+01
2.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,3.608179669778892418e+01,1.000000000000000000e+00,1.940732339010144747e+00,2.446925890100805390e+01
2.000000000000000000e+00,2.100000000000000000e+01,5.000000000000000000e+00,3.707090878427580094e+01,0.000000000000000000e+00,2.495658019017122253e+00,3.387286162027570668e+01
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.446510636754445756e+01,0.000000000000000000e+00,3.380112722953882098e+00,1.411493066451555833e+01
1.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,5.408985619558823998e+01,0.000000000000000000e+00,5.174442317695995719e+00,4.287921864019416773e+01
2.000000000000000000e+00,2.300000000000000000e+01,5.000000000000000000e+00,3.125533433062874522e+01,1.000000000000000000e+00,3.800248647530040103e+00,2.101088185823088139e+01
2.000000000000000000e+00,1.700000000000000000e+01,5.000000000000000000e+00,3.949854208817833268e+01,0.000000000000000000e+00,3.443336331326936950e+00,4.112602630816581240e+01
1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,5.366336723989886082e+01,0.000000000000000000e+00,4.735464502992460467e+00,2.383587927638883741e+01
